id;name;code;jhi_desc
1;mobile Fish;Home Loan Account Table Computer;../fake-data/blob/hipster.txt
2;Trace;Savings Account alarm;../fake-data/blob/hipster.txt
3;Tasty Metal ;red Chips Soap;../fake-data/blob/hipster.txt
4;Home Loan Ac;web-readiness;../fake-data/blob/hipster.txt
5;Namibia;Steel zero administration;../fake-data/blob/hipster.txt
6;Multi-channe;grey Cambridgeshire;../fake-data/blob/hipster.txt
7;Canyon HDD;Table Small Frozen Sausages Planner;../fake-data/blob/hipster.txt
8;envisioneer ;infomediaries;../fake-data/blob/hipster.txt
9;Investment A;Games Regional Digitized;../fake-data/blob/hipster.txt
10;copy converg;Mayotte;../fake-data/blob/hipster.txt
